,titles,artists,release_date,genres,num_comments,num_likes,num_promos,follower_counts,lyric_lengths,song_length,tempo,time_signature,key,mode,valence,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness
582,돌덩이,하현우 (국카스텐),2020.02.07,"록/메탈, 국내드라마",635,"121,488",2,"29,341",44,3.488666667,127.979,4,8,0,0.414,0.442,0.787,-3.889,0.0937,0.407,0.0,0.108
583,끝말잇기 (Feat. Skinny Brown),TOIL,2023.01.27,록/메탈,96,"10,867",0,"35,328",67,3.749333333,99.986,4,10,1,0.645,0.793,0.624,-6.1,0.0375,0.569,0.000412,0.263
584,흰수염고래,YB (윤도현 밴드),2011.11.24,록/메탈,191,"48,835",2,"17,257",29,3.35,200.096,4,1,1,0.207,0.382,0.599,-4.368,0.0368,0.188,2.86e-06,0.149
585,꽃길만 걷게 해줄게,데이브레이크 (DAYBREAK),2016.06.14,"인디음악, 록/메탈",81,"38,614",1,"19,931",40,3.840933333,111.978,4,8,1,0.67,0.671,0.771,-3.641,0.0434,0.00212,7.44e-05,0.116
586,첫사랑,버스커 버스커,2012.03.29,록/메탈,194,"103,119",0,"62,811",37,3.75,143.904,4,8,1,0.406,0.366,0.523,-6.052,0.0347,0.266,0.0,0.0818
587,비행운,문문 (MoonMoon),2016.11.10,"인디음악, 록/메탈","2,005","222,838",0,"24,244",43,2.9804,101.967,4,7,0,0.75,0.844,0.392,-6.316,0.0348,0.83,0.000115,0.228
588,MAGIC!,Zior Park,2023.02.16,록/메탈,24,"3,905",0,"15,145",106,4.750233333,93.457,4,6,0,0.352,0.738,0.482,-8.917,0.0402,0.0266,0.621,0.106
589,고백 (영화 '동감' X 츄 (이달의 소녀)),츄(Chuu),2022.10.16,"록/메탈, 국내영화",79,"16,054",0,"7,233",36,4.061783333,91.068,4,7,1,0.223,0.588,0.61,-3.696,0.0309,0.477,0.0,0.183
590,고백,뜨거운 감자,2010.03.30,"인디음악, 록/메탈",144,"84,504",1,"3,480",37,3.547266667,94.081,4,9,1,0.257,0.615,0.701,-4.258,0.031,0.06,0.0,0.114
591,처음엔 사랑이란게,버스커 버스커,2013.09.25,록/메탈,114,"114,232",2,"62,811",46,4.036266667,79.573,4,2,1,0.337,0.378,0.7,-2.782,0.0335,0.0249,0.0,0.0826
592,나랑 아니면,검정치마,2017.05.30,"인디음악, 록/메탈",535,"115,502",2,"80,927",28,4.498633333,78.002,4,4,0,0.119,0.557,0.43,-6.942,0.0258,0.034,0.904,0.143
593,행복했던 날들이었다,DAY6 (데이식스),2018.12.10,록/메탈,869,"87,101",3,"130,248",41,3.41915,102.975,4,0,0,0.651,0.613,0.874,-3.712,0.0335,0.00211,0.0,0.134
594,혜성,윤하 (YOUNHA),2007.10.23,록/메탈,125,"47,926",1,"118,496",50,3.247016667,154.967,4,2,1,0.696,0.484,0.913,-4.475,0.101,0.145,0.0,0.315
595,작은 날,PATEKO (파테코),2022.12.29,"인디음악, 록/메탈",54,"12,212",0,"10,806",50,4.2108,76.025,4,7,1,0.286,0.583,0.567,-5.454,0.0251,0.396,0.0,0.124
596,워커홀릭,볼빨간사춘기,2019.09.10,"인디음악, 록/메탈",694,"149,917",2,"268,002",45,3.184666667,108.027,4,11,0,0.658,0.728,0.761,-3.008,0.0542,0.353,0.0,0.644
